client_id,target,col1453,col2167,col2168,col2169,col2170,col2171,col2172,col2173,col2174,col2175,col2176,col2177,col2178,col2179,col2180,col2181,col2182,col2183,col2184,col2185,col2186,col2187,col2188,col2189,col2220,col2222,col2292,col2293,col2294,col2316,col2318,col2340,col2341,col2342,col2364,col2365,col2366,col2388,col2389,col2390,col2460,col2461,col2462,col2663
51,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27582087.49,4741806.13833333,20.0,20.0,20.0,292395.0,247681.0,29414937.0,893054.8,15153995.9,4.0,4.0,4.0,100.6,4.4,52.5,0.0,0.0,0.0,0.2572174233749946
210,1,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9180446.96,2548502.53285714,26.0,21.0,21.714285714285715,228193.0,182771.28571429,8274743.23,8274278.18,8274676.79428571,2.0,1.0,1.8571428571428568,47.23,36.26,45.66285714285714,2.35,2.08,2.31142857142857,0.2573079262816446
300,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7337538.72,3673769.36,13.0,13.0,13.0,198314.14,198314.14,7347538.89,7347538.89,7347538.89,1.0,1.0,1.0,37.05,37.05,37.05,2.2,2.2,2.2,0.2562613816564786
302,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6648944.1,3329472.05,2.0,2.0,2.0,180215.0,180215.0,6658944.25,6658944.25,6658944.25,1.0,1.0,1.0,36.95,36.95,36.95,2.1,2.1,2.1,0.2569190620677391
303,1,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10453996.8,3496998.93333333,27.0,27.0,27.0,161164.0,161164.0,10785094.88,10785094.88,10785094.88,3.0,3.0,3.0,66.92,66.92,66.92,0.0,0.0,0.0,0.2562613816564786
420,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9118433.83,3049477.94333333,14.0,14.0,14.0,274694.0,274694.0,9504412.4,9504412.4,9504412.4,1.0,1.0,1.0,34.6,34.6,34.6,1.4,1.4,1.4,0.2619910585197111
449,1,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12258531.3,4088979.62166667,5.0,5.0,5.0,349106.0,340045.5,12288531.2,12213346.5,12250938.85,1.0,1.0,1.0,36.9,35.2,36.05,0.0,0.0,0.0,0.2572174233749946
473,1,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9090557.45,3042519.15,29.0,29.0,29.0,132286.0,132286.0,10110618.98,10110618.98,10110618.98,3.0,3.0,3.0,76.43,76.43,76.43,0.0,0.0,0.0,0.2562613816564786
475,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6346168.34,3178084.17,3.0,3.0,3.0,126819.0,126819.0,6356168.28,6356168.28,6356168.28,2.0,2.0,2.0,50.12,50.12,50.12,1.04,1.04,1.04,0.2574822067986071
477,1,0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12886475.28,6448237.64,6.0,6.0,6.0,127666.0,127666.0,12001880.66,12001880.66,12001880.66,4.0,4.0,4.0,94.01,94.01,94.01,1.1,1.1,1.1,0.2642535066233777
