client_id,target,col1453,col2167,col2168,col2169,col2170,col2171,col2172,col2173,col2174,col2175,col2176,col2177,col2178,col2179,col2180,col2181,col2182,col2183,col2184,col2185,col2186,col2187,col2188,col2189,col2220,col2222,col2292,col2293,col2294,col2316,col2318,col2340,col2341,col2342,col2364,col2365,col2366,col2388,col2389,col2390,col2460,col2461,col2462,col2663
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6656046.7,2231015.56666667,15.0,15.0,15.0,179564.0,179564.0,6801884.32,6801884.32,6801884.32,1.0,1.0,1.0,37.88,37.88,37.88,0.0,0.0,0.0,0.2562613816564786
5,0,1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8193703.78,1420568.84333333,4.0,3.0,3.5,204857.0,150118.0,7938208.75,318565.86,4128387.305,1.0,1.0,1.0,38.75,3.34,21.045,0.0,0.0,0.0,0.2562613816564786
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6652297.58,3331398.79,16.0,16.0,16.0,190542.0,190542.0,7002418.5,7002418.5,7002418.5,1.0,1.0,1.0,36.75,36.75,36.75,2.1,2.1,2.1,0.2562613816564786
8,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9303610.11,3126870.03666667,24.0,24.0,24.0,172907.0,172907.0,9426889.64,9426889.64,9426889.64,2.0,2.0,2.0,54.52,54.52,54.52,2.28,2.28,2.28,0.2541642972029413
10,0,0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12389002.23,4149667.41,4.0,4.0,4.0,397379.0,397379.0,10570281.4,10570281.4,10570281.4,1.0,1.0,1.0,26.6,26.6,26.6,0.0,0.0,0.0,0.3189938134633118
16,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5352066.73,930853.63166667,2.0,-1.0,0.5,160165.0,124506.0,5697069.05,223005.97,2960037.51,1.0,1.0,1.0,35.57,2.51,19.04,0.0,0.0,0.0,0.2588532073038523
17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4762627.2,1262186.8,2.0,-2.0,0.0,79600.0,71800.0,5291808.0,229120.0,2760464.0,3.0,3.0,3.0,66.48,3.58,35.03,0.0,0.0,0.0,0.2562613816564786
18,0,0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,32645839.48,6582672.665,22.0,21.0,21.9,359263.0,314548.2,37004089.0,947970.0,26173461.6,4.0,4.0,4.0,103.0,4.5,73.45,0.0,0.0,0.0,0.2662850701762395
19,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8093020.24,2710006.74666667,22.0,22.0,22.0,138777.0,138777.0,8351599.86,8351599.86,8351599.86,2.0,2.0,2.0,60.18,60.18,60.18,0.0,0.0,0.0,0.2562613816564786
22,0,1,0.0,7.0,9.0,9.0,9.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,6143890.45,1997617.52666667,16.0,7.0,11.333333333333334,193677.0,188581.0,5211487.12,4524432.12,4921903.64333333,1.0,1.0,1.0,27.44,24.84,26.08333333333333,1.54,1.2,1.34333333333333,0.25820859661998
